Index,Start,End,Text
1,0.0,3.56, This is the most epic birthday party ever!
2,3.56,6.6000000000000005," It's got a jet power tie-to-swing, a custom-built roller coaster,"
3,6.6000000000000005,9.28, and an indoor sledding hill with axle-slap!
4,9.28,10.56, Oh!
5,10.56,13.96," And I said all this up, surprised the world's most deserving kids."
6,13.96,15.72, Safety is for losers!
7,15.72,16.96, Yeah!
8,16.96,19.76," I'm importantly three months ago, one of this existed,"
9,19.76,21.76, because that's when I reached out to a friend of mine
10,21.76,25.64, who many considered to be the greatest engineer this world's ever known.
11,25.64,26.8," Oh, hey, Mark!"
12,26.88,27.720000000000002, Phidias!
13,27.720000000000002,30.240000000000002, I'm planning on throwing the world's greatest birthday party
14,30.240000000000002,31.36, for this kid named Ethan.
15,31.36,32.4, I can explain later.
16,32.4,35.16," For now, I need you know what you've got in the idea."
17,35.16,37.4," Oh, that's a great question, Mark."
18,37.4,41.480000000000004," One time, Furb and I made the world's first rocket-powered tire-swing,"
19,41.480000000000004,44.2," you'll just need a tire, you're standard-elemon parts,"
20,44.2,46.2, don't forget your high-powered rockets.
21,46.2,49.56," Oh, and as you can see, as long as you don't remove this screw,"
22,49.56,50.24, you'll be fine.
23,50.24,53.6," You do realize that brings like seven laws of physics, right?"
24,53.6,55.8," Well, we're working with cartoon physics,"
25,55.8,57.559999999999995, but I trust you can figure it out.
26,57.559999999999995,59.8," In the meantime, I was thinking Furb and I"
27,59.8,61.64, could take a crack at your world record
28,61.64,64.32, breaking elephant toothpaste experiment.
29,64.32,67.28," Ooh, why the heck would we both have our work cut out for us?"
30,67.28,68.47999999999999, I'll talk to you later.
31,68.47999999999999,70.08," Now, I knew for personal experience"
32,70.08,72.84," if you can pull off a finies-sum Furb invention in real life,"
33,72.84,74.84, it makes for a really epic party
34,74.84,77.08, with 15 tons of jello to spare.
35,77.08,79.88," But the problem here was their rocket-powered tire-swing,"
36,79.88,83.72, leaned very heavily on the creative boundaries of cartoon physics
37,83.72,86.92, with estimated peak forces that would be 35 times
38,86.92,88.28, when a human could endure.
39,88.28,89.24, So it was the first pass.
40,89.24,93.03999999999999," I just let two rockets with 2,500 Newton-second total impulse"
41,93.03999999999999,95.48," to a single chain mounted to a tire-swing,"
42,95.48,98.76, and generously gave our 180-pound crash test dummy Newton
43,98.76,100.72, first dibs on the ride of his life.
44,100.72,102.36, Initiator is on.
45,102.36,104.16, This is the test my hypothesis.
46,104.16,106.6, Why finies-sum Furb is an animated show.
47,106.6,108.36," Three, two, one."
48,108.36,109.2, One.
49,109.2,110.2, One.
50,110.2,111.2, One.
51,111.2,112.2, One.
52,112.2,113.2, One.
53,113.2,114.2, One.
54,114.2,120.2," And after the smoke cleared, we lost our fans."
55,120.2,123.44," That was the most powerful, depancing in history."
56,123.44,125.44, The single chain is going to make it tough.
57,125.44,127.48," So to keep us from immediately spinning out of control,"
58,127.48,130.48000000000002," and potentially losing all our dignity in the process,"
59,130.48000000000002,132.6, we doubled the chains for more stability.
60,132.6,133.6, Here we go.
61,133.6,135.6," And this time, let it rip."
62,135.6,142.6, The exact same thing happened.
63,142.6,143.6, No.
64,143.6,148.6, He can't keep his clothes on.
65,148.6,150.6, I think only one of them ignited.
66,150.6,152.6," And a high-speed camera replay revealed,"
67,152.6,154.6, that's exactly what happened.
68,154.6,156.6," So once we fix the fault to the ignition wire,"
69,156.6,157.6, we try it again.
70,157.6,158.6, Go!
71,158.6,159.6, No!
72,159.6,161.6, I can't!
73,161.6,163.6, How's he Newton?
74,164.6,166.6," Which I'll remind you, ways more than I do."
